Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Gls/90,Ast/90,xG/90,xAG/90
Max Aarons,ENG,Defender (DF),Valencia,24,4,120,0,0,2,0,0,0,0,0,0,"0,02"
Rodrigo Abajas,ESP,Defender (DF),Valencia,21,1,65,0,0,1,0,"0,1",0,0,0,"0,1",0
Abel,ESP,Defender (DF),Osasuna,23,35,2074,2,0,3,0,"0,5",1,"0,09",0,"0,02","0,05"
Nabil Aberdin,FRA,Midfielder (MF),Getafe,21,7,263,0,0,1,0,0,0,0,0,"0,01","0,01"
Abdel Abqar,MAR,Defender (DF),Alavés,25,29,2463,0,1,13,0,"0,9","0,3",0,"0,04","0,03","0,01"
Akor Adams,NGA,Forward (FW),Sevilla,24,4,134,0,0,0,0,"0,4",0,0,0,"0,29",0
Adrián,ESP,Goalkeeper (GK),Betis,37,19,1710,0,0,3,0,0,0,0,0,0,0
Julen Agirrezabala,ESP,Goalkeeper (GK),Athletic Club,23,14,1206,0,0,1,1,0,0,0,0,0,0
Lucien Agoume,FRA,Midfielder (MF),Sevilla,22,35,2114,1,3,5,1,"0,9","2,5","0,04","0,13","0,04","0,11"
Álvaro Aguado,ESP,Midfielder (MF),Espanyol,28,16,443,0,1,3,0,"0,6","0,6",0,"0,2","0,12","0,12"
Lorenzo Aguado,ESP,Defender (DF),Real Madrid,21,2,5,0,0,0,0,0,0,0,0,0,0
Nayef Aguerd,MAR,Defender (DF),Real Sociedad,28,21,1760,0,0,5,0,"2,4","0,1",0,0,"0,12","0,01"
Joseph Aidoo,GHA,Defender (DF),Valladolid,28,8,583,0,0,0,0,0,0,0,0,"0,01",0
Joseph Aidoo,GHA,Defender (DF),Celta Vigo,28,1,2,0,0,0,0,0,0,0,0,0,0
Ilias Akhomach,MAR,Midfielder (MF),Villarreal,20,11,584,1,0,1,0,"0,6",1,"0,15",0,"0,09","0,15"
David Alaba,AUT,Defender (DF),Real Madrid,32,7,317,0,0,1,0,0,"0,1",0,0,0,"0,02"
Ibrahim Alani,NGA,Midfielder (MF),Valladolid,18,3,160,0,0,0,0,0,0,0,0,"0,01",0
Raúl Albiol,ESP,Defender (DF),Villarreal,38,15,1188,0,0,5,0,"0,1",0,0,0,"0,01",0
Omar Alderete,PAR,Defender (DF),Getafe,27,34,2971,1,0,8,0,"1,7","0,9","0,03",0,"0,05","0,03"
Carles Aleñá,ESP,Midfielder (MF),Getafe,26,10,452,0,0,1,0,"0,9","0,1",0,0,"0,18","0,02"
Carles Aleñá,ESP,Midfielder (MF),Alavés,26,14,1090,0,2,1,0,"0,7","1,3",0,"0,17","0,06","0,11"
Alfon,ESP,Forward (FW),Celta Vigo,25,26,1371,5,2,1,1,"4,6","2,6","0,33","0,13","0,3","0,17"
Tadeo Allende,ARG,Forward (FW),Celta Vigo,25,1,2,0,0,1,0,0,0,0,0,0,0
Domingos André Ribeiro Almeida,POR,Midfielder (MF),Valencia,24,34,1977,0,4,2,0,"1,2","3,2",0,"0,18","0,05","0,14"
Iker Almena,ESP,Forward (FW),Girona,20,2,48,0,1,0,0,0,"0,7",0,"1,87","0,06","1,27"
Marcos Alonso,ESP,Defender (DF),Celta Vigo,33,31,2647,3,0,10,2,4,"1,3","0,1",0,"0,14","0,04"
Adrià Altimira,ESP,Defender (DF),Leganés,23,22,1630,0,0,6,0,"0,3","0,5",0,0,"0,02","0,03"
Sergi Altimira,ESP,Midfielder (MF),Betis,22,32,1972,0,1,4,0,"1,7","1,7",0,"0,05","0,08","0,08"
Hugo Álvarez,ESP,Midfielder (MF),Celta Vigo,21,26,1572,4,3,6,0,"2,5","1,1","0,23","0,17","0,14","0,07"
Julián Álvarez,ARG,Forward (FW),Atlético Madrid,24,37,2509,17,4,5,0,"14,1","5,3","0,61","0,14","0,51","0,19"
Yeray Álvarez,ESP,Defender (DF),Athletic Club,29,21,1781,1,0,4,0,"0,5","0,2","0,05",0,"0,02","0,01"
Selim Amallah,MAR,Midfielder (MF),Valladolid,27,24,1376,3,1,6,0,"3,5","1,1","0,2","0,07","0,23","0,07"
Amath,SEN,Forward (FW),Valladolid,28,13,375,0,1,1,0,"0,4","0,5",0,"0,24","0,09","0,13"
Marcos André,BRA,Forward (FW),Valladolid,27,22,1188,1,2,5,0,"2,7","0,8","0,08","0,15","0,2","0,06"
Leandro Antonetti,PUR,Forward (FW),Sevilla,21,2,28,0,0,0,0,"0,1",0,0,0,"0,45","0,09"
Antoniu,ESP,Forward (FW),Espanyol,21,26,1022,0,1,3,0,"0,9","1,1",0,"0,09","0,08","0,1"
Antony,BRA,Forward (FW),Betis,24,17,1362,5,2,2,1,"2,9","3,5","0,33","0,13","0,19","0,23"
Anuar,MAR,Midfielder (MF),Valladolid,29,26,1720,2,0,7,0,"1,7","1,2","0,1",0,"0,09","0,06"
Aritz Arambarri,ESP,Defender (DF),Leganés,26,2,177,0,0,0,0,0,0,0,0,"0,01",0
Mauro Arambarri,URU,Midfielder (MF),Getafe,28,35,2661,10,0,10,0,"8,2","0,6","0,34",0,"0,28","0,02"
Jon Aramburu,VEN,Defender (DF),Real Sociedad,22,35,2460,1,1,8,0,"0,4","1,1","0,04","0,04","0,02","0,04"
Ronald Araújo,URU,Defender (DF),Barcelona,25,12,754,1,1,3,0,1,"0,4","0,12","0,12","0,11","0,05"
Adu Ares,ESP,Forward (FW),Athletic Club,22,1,19,0,0,0,0,0,0,0,0,0,0
Jesús Areso,ESP,Defender (DF),Osasuna,25,36,3079,0,3,9,0,"0,2","3,5",0,"0,09","0,01","0,1"
David Argüelles,ESP,Midfielder (MF),Getafe,22,1,7,0,0,0,0,0,0,0,0,0,0
José Arnaiz,ESP,Forward (FW),Osasuna,29,15,133,0,0,0,0,"0,3","0,1",0,0,"0,22","0,1"
Sergio Arribas,ESP,Defender (DF),Betis,21,1,90,0,0,0,0,0,0,0,0,0,0
Takuma Asano,JPN,Forward (FW),Mallorca,29,21,1054,2,1,0,0,"2,7","0,7","0,17","0,09","0,23","0,06"
Raúl Asencio,ESP,Defender (DF),Real Madrid,21,23,1670,0,1,3,0,"0,1","0,6",0,"0,05","0,01","0,03"
Iago Aspas,ESP,Forward (FW),Celta Vigo,36,30,1745,10,5,6,1,"8,7","4,6","0,52","0,26","0,45","0,24"
Yaser Asprilla,COL,Forward (FW),Girona,20,27,1405,3,1,2,0,"2,1","2,8","0,19","0,06","0,13","0,18"
Ezequiel Ávila,ARG,Forward (FW),Betis,30,19,677,2,0,5,1,"1,5",1,"0,27",0,"0,2","0,14"
Adam Aznou,MAR,Defender (DF),Valladolid,18,13,876,0,0,1,0,"0,3","0,3",0,0,"0,03","0,03"
César Azpilicueta,ESP,Defender (DF),Atlético Madrid,34,14,875,1,0,1,0,"0,2","0,1","0,1",0,"0,02","0,01"
Papa Ba,ESP,Midfielder (MF),Girona,19,1,48,0,0,0,0,0,0,0,0,"0,06",0
Loïc Bade,FRA,Defender (DF),Sevilla,24,32,2686,1,1,7,1,"0,6","0,7","0,03","0,03","0,02","0,02"
Alex Baena,ESP,Midfielder (MF),Villarreal,23,32,2595,7,9,9,0,"7,1","11,7","0,24","0,31","0,25","0,41"
Juma Bah,SLE,Defender (DF),Valladolid,18,12,864,0,0,1,0,"0,3",0,0,0,"0,03",0
Eric Bailly,CIV,Defender (DF),Villarreal,30,12,617,0,0,2,1,"0,3",0,0,0,"0,05",0
Stefan Bajcetic,ESP,Midfielder (MF),Las Palmas,19,14,969,1,0,4,0,"0,3","0,2","0,09",0,"0,03","0,02"
Cédric Bakambu,COD,Forward (FW),Betis,33,25,710,2,2,4,0,"3,2","0,6","0,25","0,25","0,4","0,07"
Alejandro Balde,ESP,Defender (DF),Barcelona,20,32,2284,0,4,2,0,"0,5","3,4",0,"0,16","0,02","0,13"
Iván Balliu,ALB,Defender (DF),Rayo Vallecano,32,25,1200,0,0,3,0,0,"0,5",0,0,0,"0,04"
Jonathan Bamba,CIV,Forward (FW),Celta Vigo,28,12,811,0,1,1,0,"0,8","1,8",0,"0,11","0,09","0,2"
Adrian Baquerin,ESP,Forward (FW),Valladolid,17,5,49,0,0,0,0,"0,4",0,0,0,"0,71",0
Valentín Barco,ARG,Defender (DF),Sevilla,20,7,288,0,0,0,0,"0,3","0,6",0,0,"0,09","0,2"
Borna Barišić,CRO,Defender (DF),Leganés,31,1,9,0,0,0,0,0,0,0,0,0,0
Kike Barja,ESP,Forward (FW),Osasuna,27,15,315,0,1,3,0,"0,2","1,2",0,"0,29","0,05","0,34"
Enzo Barrenechea,ARG,Midfielder (MF),Valencia,23,30,2191,1,2,6,0,"1,3","0,9","0,04","0,08","0,05","0,04"
Ander Barrenetxea,ESP,Midfielder (MF),Real Sociedad,22,30,1263,1,3,6,0,"1,6","1,9","0,07","0,21","0,12","0,14"
Pablo Barrios,ESP,Midfielder (MF),Atlético Madrid,21,31,2330,1,4,4,1,"1,3","2,4","0,04","0,15","0,05","0,09"
Thierno Barry,FRA,Forward (FW),Villarreal,21,35,2323,11,4,4,0,"12,5","2,9","0,43","0,15","0,48","0,11"
Marc Bartra,ESP,Defender (DF),Betis,33,25,2099,2,1,2,0,"1,2","0,2","0,09","0,04","0,05","0,01"
Aboubacar Bassinga,CIV,Midfielder (MF),Las Palmas,19,1,4,0,0,0,0,0,0,0,0,0,0
Augusto Batalla,ARG,Goalkeeper (GK),Rayo Vallecano,28,32,2880,0,0,6,0,0,0,0,0,0,0
Rafael Bauza,ESP,Midfielder (MF),Espanyol,19,5,183,0,0,1,0,"0,1",0,0,0,"0,04",0
Sheraldo Becker,SUR,Forward (FW),Real Sociedad,29,22,995,2,1,1,1,2,2,"0,18","0,09","0,18","0,18"
Donny van de Beek,NED,Midfielder (MF),Girona,27,26,1421,2,2,5,0,"1,5","3,2","0,13","0,13","0,1","0,21"
Luken Beitia,ESP,Defender (DF),Real Sociedad,20,1,8,0,0,0,0,0,0,0,0,0,0
Ismael Bekhoucha,MAR,Midfielder (MF),Getafe,19,5,69,0,0,2,0,0,0,0,0,0,0
Héctor Bellerín,ESP,Defender (DF),Betis,29,9,580,0,2,1,0,"0,2",2,0,"0,31","0,03","0,32"
Jude Bellingham,ENG,Midfielder (MF),Real Madrid,21,31,2488,9,8,5,1,"11,4","3,9","0,33","0,29","0,41","0,14"
Fran Beltrán,ESP,Midfielder (MF),Celta Vigo,25,34,2421,2,1,3,0,1,"1,8","0,07","0,04","0,04","0,07"
Carlos Benavídez,URU,Midfielder (MF),Alavés,26,18,487,1,1,3,0,"0,3","0,6","0,18","0,18","0,05","0,11"
Iker Benito,ESP,Forward (FW),Osasuna,21,2,37,0,0,0,0,0,0,0,0,0,"0,09"
Yuri Berchiche,ESP,Defender (DF),Athletic Club,34,30,2044,0,2,5,0,"0,6","2,2",0,"0,09","0,02","0,1"
Álex Berenguer,ESP,Forward (FW),Athletic Club,29,36,2339,6,7,5,0,"6,8",5,"0,23","0,27","0,26","0,19"
Marc Bernal,ESP,Midfielder (MF),Barcelona,17,3,242,0,0,2,0,"0,1",0,0,0,"0,03","0,01"
Juan Bernat,ESP,Defender (DF),Villarreal,31,10,212,0,1,0,0,"0,3","0,4",0,"0,42","0,12","0,17"
Juan Bernat,ESP,Defender (DF),Getafe,31,14,699,0,1,0,0,"0,1","0,7",0,"0,13","0,02","0,09"
Juan Berrocal,ESP,Defender (DF),Getafe,25,19,1063,0,0,8,1,"0,4",0,0,0,"0,03",0
Antonio Blanco,ESP,Midfielder (MF),Alavés,24,35,2727,0,1,11,1,"0,8","1,6",0,"0,03","0,03","0,05"
Daley Blind,NED,Defender (DF),Girona,34,34,2780,0,2,2,0,"0,5","1,6",0,"0,06","0,02","0,05"
Adama Boiro,ESP,Defender (DF),Athletic Club,22,18,1101,0,0,3,0,"0,3","0,5",0,0,"0,02","0,04"
Enzo Boyomo,CMR,Defender (DF),Osasuna,22,34,2987,2,0,5,0,"1,5","0,9","0,06",0,"0,05","0,03"
Enzo Boyomo,CMR,Defender (DF),Valladolid,22,3,270,0,0,0,0,"0,1",0,0,0,"0,02",0
Darko Brašanac,SRB,Midfielder (MF),Leganés,32,30,1617,1,2,4,0,"1,8","0,4","0,06","0,11","0,1","0,02"
Tajon Buchanan,CAN,Midfielder (MF),Villarreal,25,13,416,1,2,2,0,"0,9","0,5","0,22","0,43","0,19","0,12"
Ante Budimir,CRO,Forward (FW),Osasuna,33,38,2952,21,4,4,0,"18,3","1,7","0,64","0,12","0,56","0,05"
Manu Bueno,ESP,Midfielder (MF),Sevilla,20,9,140,1,0,0,0,"0,1",0,"0,64",0,"0,08",0
Endika Buján,ESP,Forward (FW),Athletic Club,21,1,7,0,0,0,0,0,0,0,0,0,0
Pau Cabanes,ESP,Midfielder (MF),Villarreal,19,10,163,1,0,0,0,"0,5","0,4","0,55",0,"0,26","0,22"
Pau Cabanes,ESP,Midfielder (MF),Alavés,19,6,188,0,0,1,0,0,0,0,0,"0,02","0,01"
Leandro Cabrera,URU,Defender (DF),Espanyol,33,33,2869,4,2,4,1,"1,1","0,9","0,13","0,06","0,03","0,03"
Fernando Calero,ESP,Defender (DF),Espanyol,28,21,715,1,0,1,0,"0,3",0,"0,13",0,"0,03","0,01"
Eduardo Camavinga,FRA,Midfielder (MF),Real Madrid,21,19,1102,1,2,2,0,"0,4","0,8","0,08","0,16","0,04","0,06"
Sergio Camello,ESP,Forward (FW),Rayo Vallecano,23,23,1134,3,2,2,0,"4,1",2,"0,24","0,16","0,32","0,16"
José Campaña,ESP,Midfielder (MF),Las Palmas,31,25,1189,0,3,5,0,"0,1","0,9",0,"0,23","0,01","0,07"
Peio Canales,ESP,Midfielder (MF),Athletic Club,19,8,259,0,0,0,0,"0,2","0,2",0,0,"0,07","0,08"
Antonio Candela,ITA,Defender (DF),Valladolid,24,12,906,0,0,1,0,0,"0,8",0,0,0,"0,08"
Sergi Canós,ESP,Midfielder (MF),Valencia,27,17,370,0,1,3,0,"0,5","0,2",0,"0,24","0,13","0,05"
Dani Cárdenas,ESP,Goalkeeper (GK),Rayo Vallecano,27,6,540,0,0,0,0,0,0,0,0,0,0
Irvin Cardona,FRA,Forward (FW),Espanyol,26,16,606,1,1,1,0,"1,1","0,6","0,15","0,15","0,16","0,09"
Marc Cardona,ESP,Forward (FW),Las Palmas,29,11,132,0,0,2,0,"0,4",0,0,0,"0,26",0
Sergi Cardona,ESP,Defender (DF),Villarreal,25,35,2945,1,7,11,0,"2,4","5,8","0,03","0,21","0,07","0,18"
Johnny Cardoso,USA,Midfielder (MF),Betis,22,28,2144,3,1,4,0,2,"0,9","0,13","0,04","0,09","0,04"
José Carlos González,ESP,Defender (DF),Las Palmas,18,1,11,0,0,0,0,0,0,0,0,0,0
Carmona,ESP,Defender (DF),Sevilla,22,35,2942,0,0,11,0,"0,5",2,0,0,"0,02","0,06"
Sergio Carreira,ESP,Midfielder (MF),Celta Vigo,23,23,1656,0,4,1,0,"0,6","3,1",0,"0,22","0,03","0,17"
Dani Carvajal,ESP,Defender (DF),Real Madrid,32,8,609,1,0,1,0,"1,3","0,2","0,15",0,"0,19","0,03"
William Carvalho,POR,Midfielder (MF),Betis,32,14,484,0,0,1,0,"0,2","0,2",0,0,"0,04","0,05"
Marc Casado,ESP,Midfielder (MF),Barcelona,20,23,1611,1,3,4,1,"1,1","1,4","0,06","0,17","0,06","0,08"
Catena,ESP,Defender (DF),Osasuna,29,35,3074,1,3,11,0,"2,2","2,3","0,03","0,09","0,07","0,07"
Maximiliano Caufriez,BEL,Defender (DF),Valencia,27,1,90,0,0,0,0,0,0,0,0,0,0
Dani Ceballos,ESP,Midfielder (MF),Real Madrid,27,23,1215,0,0,4,0,"0,4","1,6",0,0,"0,03","0,12"
Franco Cervi,ARG,Forward (FW),Celta Vigo,30,7,273,0,0,1,0,0,"0,3",0,0,0,"0,11"
Raúl Chasco,ESP,Defender (DF),Valladolid,20,2,130,0,0,0,0,0,0,0,0,0,"0,02"
Pep Chavarría,ESP,Defender (DF),Rayo Vallecano,26,34,2585,0,1,3,0,"1,2","1,9",0,"0,03","0,04","0,07"
Walid Cheddira,MAR,Forward (FW),Espanyol,26,22,640,1,1,3,0,1,"1,2","0,14","0,14","0,14","0,17"
Chema,ESP,Midfielder (MF),Real Madrid,19,2,12,0,0,0,0,0,0,0,0,0,0
Julián Chicco,ARG,Midfielder (MF),Leganés,26,14,302,0,1,0,0,"0,5","0,2",0,"0,3","0,14","0,05"
Chiquinho,POR,Midfielder (MF),Mallorca,24,8,146,0,0,2,0,"0,3",0,0,0,"0,19","0,02"
Andreas Christensen,DEN,Defender (DF),Barcelona,28,5,254,0,0,3,0,0,0,0,0,"0,01","0,01"
Jasper Cillessen,NED,Goalkeeper (GK),Las Palmas,35,27,2335,0,0,1,0,0,0,0,0,0,0
Pathé Ciss,SEN,Midfielder (MF),Rayo Vallecano,30,33,2140,4,1,12,0,"1,8","1,1","0,17","0,04","0,08","0,05"
Seydouba Cissé,GUI,Midfielder (MF),Leganés,23,34,2435,3,1,3,1,3,1,"0,11","0,04","0,11","0,04"
Silvi Clúa,ESP,Midfielder (MF),Girona,19,4,163,0,0,0,0,0,0,0,0,"0,02","0,02"
Eray Cömert,SUI,Defender (DF),Valladolid,26,25,1779,0,0,6,0,"0,9",0,0,0,"0,04",0
Santi Comesaña,ESP,Midfielder (MF),Villarreal,27,35,2560,4,2,7,0,"4,6",2,"0,14","0,07","0,16","0,07"
Diego Conde,ESP,Goalkeeper (GK),Villarreal,25,22,1962,0,1,2,0,0,"0,2",0,"0,05",0,"0,01"
Tomás Conechny,ARG,Forward (FW),Alavés,26,22,847,1,0,8,0,"2,4","0,3","0,11",0,"0,26","0,03"
Copete,ESP,Defender (DF),Mallorca,24,25,1528,0,0,6,0,"0,5",0,0,0,"0,03",0
Iker Córdoba,ESP,Defender (DF),Valencia,18,2,15,0,0,0,0,0,"0,1",0,0,0,"0,45"
Ángel Correa,ARG,Forward (FW),Atlético Madrid,29,31,805,4,1,3,1,"4,5","2,1","0,45","0,11","0,51","0,23"
Thierry Correia,POR,Defender (DF),Valencia,25,11,768,0,0,1,0,"0,3","0,3",0,0,"0,04","0,04"
Coba da Costa,ESP,Midfielder (MF),Getafe,22,19,1006,1,1,4,0,"1,1","1,4","0,09","0,09","0,1","0,13"
Logan Costa,CPV,Defender (DF),Villarreal,23,32,2587,2,1,3,0,"0,7","0,6","0,07","0,03","0,02","0,02"
Samu Costa,POR,Midfielder (MF),Mallorca,23,32,2649,0,2,10,1,"1,8","1,2",0,"0,07","0,06","0,04"
Thibaut Courtois,BEL,Goalkeeper (GK),Real Madrid,32,30,2700,0,0,1,0,0,"0,1",0,0,0,0
Juan Cruz Armada,ESP,Defender (DF),Osasuna,32,25,1492,0,0,4,0,"0,1",0,0,0,"0,01",0
Juan Cruz,ESP,Forward (FW),Leganés,24,34,2257,5,4,2,0,"2,7","4,1","0,2","0,16","0,11","0,17"
Pau Cubarsí,ESP,Defender (DF),Barcelona,17,35,2618,0,3,3,0,"0,8","1,6",0,"0,1","0,03","0,06"
Cucho,COL,Forward (FW),Betis,25,15,1139,5,1,0,0,"3,8","1,5","0,4","0,08","0,3","0,12"
Arnaut Danjuma,NED,Forward (FW),Villarreal,27,3,200,2,0,1,0,"0,8",0,"0,9",0,"0,37","0,01"
Arnaut Danjuma,NED,Forward (FW),Girona,27,25,1335,2,0,2,0,"3,6","1,7","0,13",0,"0,24","0,11"
Sergi Darder,ESP,Midfielder (MF),Mallorca,30,38,2744,2,6,4,0,"2,1","3,7","0,07","0,2","0,07","0,12"
Rodrigo De Paul,ARG,Midfielder (MF),Atlético Madrid,30,34,2106,3,5,7,0,"1,3","5,6","0,13","0,21","0,06","0,24"
Mouctar Diakhaby,GUI,Defender (DF),Valencia,27,13,653,2,0,0,0,"1,5",0,"0,28",0,"0,2",0
Assane Diao,SEN,Forward (FW),Betis,18,10,277,1,2,0,0,"0,8","1,5","0,32","0,65","0,26","0,5"
Moussa Diarra,MLI,Defender (DF),Alavés,23,26,1866,0,0,6,0,0,"0,1",0,0,0,"0,01"
Brahim Díaz,MAR,Forward (FW),Real Madrid,24,31,1385,4,2,0,0,"5,3","3,3","0,26","0,13","0,34","0,22"
Daniel Díaz,ESP,Midfielder (MF),Real Sociedad,18,1,10,0,0,0,0,0,0,0,0,0,0
Pedro Díaz,ESP,Midfielder (MF),Rayo Vallecano,26,26,1211,3,0,2,0,"2,4","2,1","0,22",0,"0,18","0,16"
Diego,ESP,Forward (FW),Leganés,24,28,1195,3,0,2,0,"3,8","0,2","0,23",0,"0,28","0,02"
Stole Dimitrievski,MKD,Goalkeeper (GK),Valencia,30,4,360,0,0,1,0,0,0,0,0,0,0
Yan Diomandé,CIV,Midfielder (MF),Leganés,17,10,545,2,1,1,0,"1,4","0,9","0,33","0,17","0,24","0,14"
Álvaro djaló,ESP,Forward (FW),Athletic Club,24,17,659,1,0,2,0,"0,8","0,9","0,14",0,"0,11","0,12"
Djené,TOG,Defender (DF),Getafe,32,31,2548,0,0,10,1,"0,3","0,6",0,0,"0,01","0,02"
Marko Dmitrović,SRB,Goalkeeper (GK),Leganés,32,32,2880,0,0,0,0,0,"0,2",0,0,0,"0,01"
Marc Domenech,ESP,Forward (FW),Mallorca,18,10,303,0,0,0,0,"0,7","0,2",0,0,"0,22","0,06"
Carlos Dominguez,ESP,Defender (DF),Celta Vigo,23,19,1181,0,0,1,0,"0,2","0,1",0,0,"0,02",0
Israel Domínguez,ESP,Forward (FW),Sevilla,21,1,18,0,0,0,0,0,0,0,0,0,0
Sergi Dominguez,ESP,Defender (DF),Barcelona,19,3,172,0,0,1,0,0,0,0,0,0,0
Anastasios Douvikas,GRE,Forward (FW),Celta Vigo,24,20,700,3,1,2,0,"4,4","0,2","0,39","0,13","0,57","0,03"
Domingos Duarte,POR,Defender (DF),Getafe,29,22,1859,1,0,4,2,"0,2","0,1","0,05",0,"0,01",0
Duk,CPV,Midfielder (MF),Leganés,24,10,179,0,0,1,0,0,"0,7",0,0,"0,01","0,33"
Pablo Durán,ESP,Forward (FW),Celta Vigo,23,27,1394,4,4,3,0,"3,6","2,8","0,26","0,26","0,24","0,18"
Hugo Duro,ESP,Forward (FW),Valencia,24,31,2166,11,2,5,0,"9,4","1,3","0,46","0,08","0,39","0,05"
Chidera Ejuke,NGA,Forward (FW),Sevilla,26,25,966,2,1,0,0,"1,1","1,9","0,19","0,09","0,1","0,17"
Aritz Elustondo,ESP,Defender (DF),Real Sociedad,30,22,1457,0,0,2,1,"0,4","0,2",0,0,"0,03","0,01"
Adri Embarba,ESP,Forward (FW),Rayo Vallecano,32,35,1607,1,1,4,0,"2,1","2,7","0,06","0,06","0,12","0,15"
Endrick,BRA,Forward (FW),Real Madrid,18,22,363,1,0,1,0,"2,5","0,5","0,25",0,"0,61","0,12"
Alfonso Espino,URU,Defender (DF),Rayo Vallecano,32,16,833,0,1,4,0,"0,4","0,6",0,"0,11","0,05","0,07"
Dario Essugo,POR,Midfielder (MF),Las Palmas,19,27,1938,1,0,11,2,"0,7","0,4","0,05",0,"0,03","0,02"
Etienne Eto'o,CMR,Forward (FW),Rayo Vallecano,21,2,40,0,0,0,0,0,0,0,0,0,0
Karl Etta,CMR,Midfielder (MF),Villarreal,20,4,37,1,0,0,0,"0,4",0,"2,43",0,"0,88",0
Edu Expósito,ESP,Midfielder (MF),Espanyol,27,19,1045,0,2,3,0,1,"3,2",0,"0,17","0,09","0,27"
Abde Ezzalzouli,MAR,Forward (FW),Betis,22,32,1984,2,2,2,0,8,2,"0,09","0,09","0,36","0,09"
Ansu Fati,ESP,Forward (FW),Barcelona,21,6,233,0,0,1,0,1,"0,2",0,0,"0,38","0,06"
Nabil Fekir,FRA,Midfielder (MF),Betis,31,2,180,0,1,0,0,"0,7","0,6",0,"0,5","0,34","0,28"
Kiko Femenía,ESP,Defender (DF),Villarreal,33,28,2227,0,1,7,0,"0,4","1,3",0,"0,04","0,01","0,05"
Aitor Fernández,ESP,Goalkeeper (GK),Osasuna,33,1,90,0,0,0,0,0,0,0,0,0,0
Álvaro Fernández,ESP,Goalkeeper (GK),Sevilla,26,9,747,0,0,2,0,0,"0,1",0,0,0,"0,02"
Pelayo Fernandez,ESP,Defender (DF),Rayo Vallecano,21,2,98,0,0,1,0,0,0,0,0,0,0
Roberto Férnandez,ESP,Forward (FW),Espanyol,22,19,1497,6,0,1,0,"3,6","0,6","0,36",0,"0,21","0,04"
Valery Fernández,ESP,Midfielder (MF),Mallorca,24,18,309,2,0,1,0,"0,8",0,"0,58",0,"0,24","0,01"
André Ferreira,POR,Goalkeeper (GK),Valladolid,28,6,540,0,0,0,0,0,0,0,0,0,0
Mateo Flores,ESP,Midfielder (MF),Betis,20,6,153,0,0,1,0,0,0,0,0,0,0
Pablo Fornals,ESP,Midfielder (MF),Betis,28,26,1827,2,0,2,0,"1,8","3,3","0,1",0,"0,09","0,16"
Héctor Fort,ESP,Defender (DF),Barcelona,17,17,585,0,0,2,0,"0,2","0,9",0,0,"0,04","0,13"
Dimitri Foulquier,FRA,Defender (DF),Valencia,31,32,2299,0,1,6,0,"0,4","1,4",0,"0,04","0,02","0,05"
