Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Gls/90,Ast/90,xG/90,xAG/90
Pau Navarro,ESP,Defender (DF),Villarreal,19,17,916,0,0,1,0,0,0,0,0,0,0
Roberto Navarro,ESP,Midfielder (MF),Mallorca,22,23,1278,1,0,3,0,2,"1,9","0,07",0,"0,14","0,14"
Jesús Navas,ESP,Forward (FW),Sevilla,38,15,424,1,0,0,0,"0,5","0,5","0,21",0,"0,11","0,11"
Yvan Neyou,CMR,Midfielder (MF),Leganés,27,30,2312,1,1,14,0,"0,6","0,6","0,04","0,04","0,03","0,03"
Tanguy Nianzou,FRA,Defender (DF),Sevilla,22,6,518,0,0,3,1,"0,2",0,0,0,"0,03",0
Saúl Ñíguez,ESP,Midfielder (MF),Sevilla,29,24,1553,1,6,8,1,"2,8","2,5","0,06","0,35","0,16","0,14"
Tamás Nikitscher,HUN,Midfielder (MF),Valladolid,24,13,858,0,0,2,0,"0,1",0,0,0,"0,01",0
Adrian Niño,ESP,Forward (FW),Atlético Madrid,20,1,12,0,0,0,0,"0,2",0,0,0,"1,44",0
Hugo Novoa,ESP,Defender (DF),Alavés,21,5,237,0,0,0,0,"0,5","0,2",0,0,"0,18","0,07"
Randy Nteka,ANG,Forward (FW),Rayo Vallecano,26,24,1129,3,0,6,0,"2,6","0,5","0,24",0,"0,21","0,04"
Unai Núñez,ESP,Defender (DF),Athletic Club,27,10,645,0,0,4,0,"0,2","0,1",0,0,"0,03","0,01"
Ørjan Nyland,NOR,Goalkeeper (GK),Sevilla,33,30,2673,0,0,2,0,0,"0,3",0,0,0,"0,01"
Allan Nyom,CMR,Defender (DF),Getafe,36,20,887,1,2,4,0,"0,5","0,3","0,1","0,2","0,05","0,03"
Jan Oblak,SVN,Goalkeeper (GK),Atlético Madrid,31,36,3240,0,0,0,0,0,0,0,0,0,0
Lucas Ocampos,ARG,Forward (FW),Sevilla,30,2,175,0,1,0,0,"0,2","0,3",0,"0,51","0,08","0,17"
Álvaro Odriozola,ESP,Defender (DF),Real Sociedad,28,2,43,0,0,1,0,0,0,0,0,0,0
Thiago Ojeda,ARG,Midfielder (MF),Villarreal,21,1,8,0,0,1,0,0,0,0,0,"0,12",0
Aingeru Olabarrieta,ESP,Forward (FW),Athletic Club,18,1,54,0,0,0,0,0,0,0,0,0,0
Olasagasti,ESP,Midfielder (MF),Real Sociedad,23,22,857,1,1,2,0,"0,9","0,8","0,11","0,11","0,1","0,08"
Brian Oliván,ESP,Defender (DF),Espanyol,30,17,1017,0,1,2,0,"0,4","1,1",0,"0,09","0,03","0,1"
Lucas Oliveira Rosa,BRA,Defender (DF),Valladolid,24,21,1890,0,1,6,0,"0,9",2,0,"0,05","0,04","0,09"
Dani Olmo,ESP,Midfielder (MF),Barcelona,26,25,1212,10,3,1,0,"6,5",3,"0,74","0,22","0,48","0,22"
Aimar Oroz,ESP,Midfielder (MF),Osasuna,22,37,2966,5,4,8,0,"4,2","2,9","0,15","0,12","0,13","0,09"
Ángel Ortíz,ESP,Defender (DF),Betis,20,5,353,0,1,0,0,0,"0,1",0,"0,25","0,01","0,03"
Gabriel Osei Misehouy,NED,Forward (FW),Girona,19,9,257,1,0,0,0,"0,9","0,3","0,35",0,"0,31","0,09"
David Otorbi,ESP,Midfielder (MF),Valencia,16,1,14,0,0,0,0,0,0,0,0,0,0
Jesús Owono,EQG,Goalkeeper (GK),Alavés,23,6,487,0,0,0,0,0,0,0,0,0,0
Mikel Oyarzabal,ESP,Forward (FW),Real Sociedad,27,35,2250,9,3,4,1,"9,9","2,4","0,36","0,12","0,4","0,1"
Cenk Özkacar,TUR,Defender (DF),Valladolid,23,11,757,0,0,1,0,"0,1",0,0,0,"0,01",0
Jon Pacheco,ESP,Defender (DF),Real Sociedad,23,14,854,0,0,3,0,"0,1","0,1",0,0,"0,01","0,01"
Alex Padilla,ESP,Goalkeeper (GK),Athletic Club,20,5,321,0,0,0,0,0,0,0,0,0,0
Isaac Palazón Camacho,ESP,Midfielder (MF),Rayo Vallecano,29,35,2162,4,4,5,0,"4,7","4,4","0,17","0,17","0,2","0,18"
Aitor Paredes,ESP,Defender (DF),Athletic Club,24,23,1812,3,0,4,1,"2,3","0,1","0,15",0,"0,11",0
Daniel Parejo,ESP,Midfielder (MF),Villarreal,35,36,2273,3,3,8,0,"2,5","1,8","0,12","0,12","0,1","0,07"
Iago Parente,ESP,Defender (DF),Valladolid,18,1,71,0,0,0,0,0,0,0,0,0,"0,04"
Álvaro Pascual,ESP,Forward (FW),Sevilla,22,8,408,1,0,1,0,"1,1",0,"0,22",0,"0,24","0,01"
Alfonso Pedraza,ESP,Defender (DF),Villarreal,28,12,460,0,2,0,0,"0,5","1,4",0,"0,39","0,09","0,27"
Pedri,ESP,Midfielder (MF),Barcelona,21,37,2879,4,5,3,0,"2,2","7,4","0,13","0,16","0,07","0,23"
Adrià Pedrosa,ESP,Defender (DF),Sevilla,26,31,2298,1,1,7,0,"0,9","1,6","0,04","0,04","0,04","0,06"
Pejiño,ESP,Forward (FW),Las Palmas,28,1,16,0,0,0,0,0,0,0,0,"0,17",0
Andy Pelmard,FRA,Defender (DF),Las Palmas,24,4,205,0,0,1,0,0,0,0,0,0,"0,02"
Iñaki Peña,ESP,Goalkeeper (GK),Barcelona,25,16,1396,0,0,1,0,0,0,0,0,0,0
Rubén Peña,ESP,Forward (FW),Osasuna,33,25,775,0,0,1,0,"0,7","0,6",0,0,"0,08","0,07"
Nicolas Pépé,CIV,Forward (FW),Villarreal,29,28,1500,3,6,3,0,"3,8","4,8","0,18","0,36","0,23","0,29"
Peque,ESP,Midfielder (MF),Sevilla,21,26,1134,1,1,1,0,"2,5","1,2","0,08","0,08","0,2","0,1"
Ayoze Pérez,ESP,Forward (FW),Villarreal,31,30,1970,19,2,4,0,"12,7",3,"0,87","0,09","0,58","0,13"
Carles Pérez,ESP,Midfielder (MF),Getafe,26,27,1431,3,0,2,0,"2,4","1,5","0,19",0,"0,15","0,1"
Francisco Perez,ESP,Forward (FW),Valencia,21,26,570,0,0,1,0,"0,3","2,6",0,0,"0,05","0,4"
Kike Pérez,ESP,Midfielder (MF),Valladolid,27,19,1191,2,0,6,0,"2,1",1,"0,15",0,"0,16","0,08"
Luis Pérez,ESP,Defender (DF),Valladolid,29,30,2558,0,0,2,0,"0,2","2,1",0,0,"0,01","0,07"
Romain Perraud,FRA,Defender (DF),Betis,26,28,2002,2,2,8,1,"0,6","1,6","0,09","0,09","0,02","0,07"
Valentín Pezzolesi,ESP,Defender (DF),Las Palmas,17,1,6,0,0,0,0,0,0,0,0,0,0
Pica,ESP,Defender (DF),Alavés,22,9,499,0,0,1,0,"0,3",0,0,0,"0,06","0,01"
Yeremi Pino,ESP,Midfielder (MF),Villarreal,21,34,1934,4,7,11,0,"3,9","5,3","0,19","0,33","0,18","0,25"
Portu,ESP,Forward (FW),Girona,32,27,779,1,2,4,0,"1,6","1,7","0,12","0,23","0,19","0,19"
Beñat Prados,ESP,Midfielder (MF),Athletic Club,23,30,1715,1,0,7,0,1,"1,1","0,05",0,"0,05","0,06"
Abdón Prats,ESP,Forward (FW),Mallorca,31,24,456,2,0,4,0,"2,2","0,1","0,39",0,"0,45","0,03"
Javi Puado,ESP,Forward (FW),Espanyol,26,35,2974,12,4,8,0,"11,6",3,"0,36","0,12","0,35","0,09"
Dani Raba,ESP,Forward (FW),Leganés,28,29,1879,8,6,6,0,"7,5","5,3","0,38","0,29","0,36","0,25"
Arnau Rafús,ESP,Goalkeeper (GK),Valladolid,21,1,90,0,0,0,0,0,0,0,0,0,0
Antonio Raillo,ESP,Defender (DF),Mallorca,32,36,3207,2,0,7,1,2,"1,6","0,06",0,"0,06","0,05"
Benito Ramírez,ESP,Defender (DF),Las Palmas,29,19,478,0,0,2,1,"0,3","0,9",0,0,"0,06","0,16"
Sandro Ramírez,ESP,Forward (FW),Las Palmas,29,31,2034,9,3,6,0,"4,1","3,4","0,4","0,13","0,18","0,15"
Jacobo Ramón,ESP,Defender (DF),Real Madrid,19,3,204,1,0,1,0,"0,2","0,2","0,44",0,"0,07","0,09"
Raphinha,BRA,Forward (FW),Barcelona,27,36,2839,18,9,4,0,"19,2","12,7","0,57","0,29","0,61","0,4"
Andrei Ratiu,ROU,Defender (DF),Rayo Vallecano,26,35,3065,2,3,5,0,"1,8","5,7","0,06","0,09","0,05","0,17"
Raúl,ESP,Forward (FW),Osasuna,23,32,750,4,0,1,0,"3,5","0,7","0,48",0,"0,41","0,08"
Abderrahman Rebbach,ALG,Forward (FW),Alavés,25,8,385,0,0,1,0,"0,2","0,3",0,0,"0,04","0,07"
Álex Remiro,ESP,Goalkeeper (GK),Real Sociedad,29,36,3240,0,0,0,0,0,0,0,0,0,0
Daniel Requena,ESP,Midfielder (MF),Villarreal,20,1,10,0,0,0,0,0,0,0,0,0,0
Diego Rico,ESP,Defender (DF),Getafe,31,33,2819,0,3,9,1,"0,4","2,7",0,"0,1","0,01","0,09"
Luis Rioja,ESP,Forward (FW),Alavés,30,1,23,0,0,0,0,0,"0,1",0,0,0,"0,57"
Luis Rioja,ESP,Forward (FW),Valencia,30,36,2831,5,3,6,0,"3,3","4,5","0,16","0,1","0,1","0,14"
Rodrigo Riquelme,ESP,Midfielder (MF),Atlético Madrid,24,16,516,0,1,0,0,"0,9","0,8",0,"0,17","0,16","0,14"
Alberto Risco,ESP,Midfielder (MF),Getafe,18,5,69,0,0,0,0,"0,2","0,1",0,0,"0,22","0,19"
Mihailo Ristić,SRB,Defender (DF),Celta Vigo,28,10,429,0,1,1,0,0,"0,2",0,"0,21","0,01","0,04"
Gorka Rivera Alonso,ESP,Defender (DF),Getafe,19,1,20,0,0,0,0,0,0,0,0,0,0
Marc Roca,ESP,Midfielder (MF),Betis,27,14,906,2,2,4,0,"1,1",1,"0,2","0,2","0,11","0,1"
Rodri,ESP,Forward (FW),Betis,24,3,118,0,0,0,0,"0,2","0,1",0,0,"0,13","0,06"
Adrian Rodriguez,ESP,Goalkeeper (GK),Alavés,23,2,122,0,0,1,0,0,0,0,0,0,0
Álvaro Rodríguez,URU,Forward (FW),Getafe,20,22,852,2,0,6,0,"1,2","0,3","0,21",0,"0,13","0,03"
Óscar Rodríguez Arnaiz,ESP,Midfielder (MF),Leganés,26,29,1330,1,4,6,1,"2,1","2,2","0,07","0,27","0,14","0,15"
Arturo Rodríguez,ESP,Forward (FW),Las Palmas,17,1,21,0,0,0,0,0,0,0,0,0,0
Damián Rodríguez,ESP,Midfielder (MF),Celta Vigo,21,17,927,0,0,3,0,"0,1","0,8",0,0,"0,01","0,08"
Dani Rodríguez,ESP,Midfielder (MF),Mallorca,36,37,2162,4,7,5,0,"2,8","3,1","0,17","0,29","0,12","0,13"
Daniel Rodriguez,ESP,Forward (FW),Barcelona,18,1,37,0,0,0,0,0,0,0,0,"0,06",0
James Rodríguez,COL,Midfielder (MF),Rayo Vallecano,33,6,140,0,0,1,0,"0,3","0,2",0,0,"0,19","0,11"
Javi Rodríguez,ESP,Defender (DF),Celta Vigo,21,36,2514,3,2,7,0,"2,3",1,"0,11","0,07","0,08","0,04"
Jesus Rodríguez,ESP,Forward (FW),Betis,18,21,1111,2,0,0,0,"2,3","0,2","0,16",0,"0,18","0,02"
Kirian Rodríguez,ESP,Midfielder (MF),Las Palmas,28,21,1758,0,3,2,0,"1,6","1,5",0,"0,15","0,08","0,07"
Ricardo Rodríguez,SUI,Defender (DF),Betis,31,18,1274,0,1,0,0,"0,2","0,4",0,"0,07","0,01","0,03"
Rodrygo,BRA,Forward (FW),Real Madrid,23,30,1928,6,5,0,0,4,3,"0,28","0,23","0,19","0,14"
Leo Román,ESP,Goalkeeper (GK),Mallorca,24,7,630,0,0,0,0,0,0,0,0,0,0
Carlos Romero,ESP,Defender (DF),Espanyol,22,34,2554,2,1,7,0,2,"2,1","0,07","0,04","0,07","0,07"
Isaac Romero,ESP,Forward (FW),Sevilla,24,31,2156,4,2,10,1,"6,8","2,1","0,17","0,08","0,28","0,09"
Luka Romero,ARG,Forward (FW),Alavés,19,6,199,0,0,0,0,"0,8","0,2",0,0,"0,37","0,08"
Oriol Romeu,ESP,Midfielder (MF),Girona,32,25,1356,0,0,5,0,"0,1","0,3",0,0,"0,01","0,02"
Vitor Roque,BRA,Forward (FW),Betis,19,22,1235,4,0,4,0,"6,1","1,2","0,29",0,"0,44","0,09"
Valentin Rosier,FRA,Defender (DF),Leganés,27,32,2595,1,2,8,0,"0,9","1,1","0,03","0,07","0,03","0,04"
Antonio Rüdiger,GER,Defender (DF),Real Madrid,31,29,2291,0,0,3,0,"1,7","0,5",0,0,"0,07","0,02"
Aitor Ruibal,ESP,Defender (DF),Betis,28,29,1313,1,3,5,0,"0,9","2,4","0,07","0,21","0,06","0,17"
Abel Ruiz,ESP,Forward (FW),Girona,24,23,1346,4,0,3,0,"4,6","0,5","0,27",0,"0,31","0,03"
Ferrán Ruiz,ESP,Midfielder (MF),Girona,21,1,18,0,0,0,0,0,0,0,0,0,0
Youssouf Sabaly,SEN,Defender (DF),Betis,31,22,1581,0,1,1,0,"0,2","0,8",0,"0,06","0,01","0,05"
Umar Sadiq,NGA,Forward (FW),Valencia,27,16,825,5,0,4,0,"3,4","0,7","0,55",0,"0,37","0,08"
Umar Sadiq,NGA,Forward (FW),Real Sociedad,27,7,227,0,0,1,0,"0,2","0,2",0,0,"0,09","0,06"
Jorge Sáenz,ESP,Defender (DF),Leganés,27,23,1690,1,0,4,1,"1,3","0,1","0,05",0,"0,07","0,01"
Jan Salas,ESP,Midfielder (MF),Mallorca,18,4,43,0,0,0,0,"0,1",0,0,0,"0,12",0
Kike Salas,ESP,Defender (DF),Sevilla,22,31,2238,3,2,6,0,"1,9","0,6","0,12","0,08","0,08","0,02"
Albert Sambi Lokonga,BEL,Midfielder (MF),Sevilla,24,22,1471,0,2,4,0,"0,9",1,0,"0,12","0,06","0,06"
Chuky san jose,ESP,Midfielder (MF),Valladolid,20,18,728,2,0,1,0,"2,2","1,2","0,25",0,"0,28","0,15"
Oihan Sancet,ESP,Midfielder (MF),Athletic Club,24,29,1620,15,1,2,0,"9,7","1,9","0,83","0,06","0,54","0,1"
Antonio Sánchez,ESP,Midfielder (MF),Mallorca,27,33,1395,0,0,3,0,"1,1","0,6",0,0,"0,07","0,04"
Iván Sánchez,ESP,Midfielder (MF),Valladolid,31,32,1404,2,1,4,0,"0,7","2,9","0,13","0,06","0,04","0,19"
Javi Sánchez,ESP,Defender (DF),Valladolid,27,25,2026,2,0,6,0,"0,5","0,3","0,09",0,"0,02","0,01"
Juanlu Sánchez,ESP,Midfielder (MF),Sevilla,20,32,1722,4,4,6,1,"2,1","2,8","0,21","0,21","0,11","0,15"
Manu Sánchez,ESP,Defender (DF),Alavés,23,33,2634,1,0,6,1,"1,7","1,2","0,03",0,"0,06","0,04"
Maroan Sannadi,MAR,Forward (FW),Athletic Club,23,16,754,1,1,0,0,"3,5","0,6","0,12","0,12","0,41","0,07"
Jesús Santiago,ESP,Midfielder (MF),Getafe,20,19,372,0,0,5,0,0,0,0,0,"0,01",0
Aleksandar Sedlar,SRB,Defender (DF),Alavés,32,9,594,0,0,1,1,0,0,0,0,0,0
Sergi,ESP,Defender (DF),Leganés,32,36,2957,2,0,2,1,"1,5","0,4","0,06",0,"0,05","0,01"
Nicolás Serrano,ESP,Forward (FW),Athletic Club,21,4,112,0,0,0,0,"0,2",0,0,0,"0,13","0,02"
Fábio Silva,POR,Forward (FW),Las Palmas,22,24,1866,10,3,7,0,"8,8",2,"0,48","0,14","0,42","0,1"
Rui Silva,POR,Goalkeeper (GK),Betis,30,15,1350,0,0,1,0,0,"0,1",0,0,0,"0,01"
Giuliano Simeone,ARG,Midfielder (MF),Atlético Madrid,21,33,1926,2,6,4,0,"2,2","5,2","0,09","0,28","0,1","0,24"
Unai Simón,ESP,Goalkeeper (GK),Athletic Club,27,21,1890,0,0,0,0,0,0,0,0,0,0
Daley Sinkgraven,NED,Defender (DF),Las Palmas,29,2,91,0,0,0,0,0,0,0,0,0,"0,02"
Jailson Siqueira,BRA,Defender (DF),Celta Vigo,28,13,614,0,0,2,0,"0,1",0,0,0,"0,02",0
Antonio Sivera,ESP,Goalkeeper (GK),Alavés,27,32,2810,0,0,6,1,0,"0,1",0,0,0,0
Justin Smith,CAN,Midfielder (MF),Espanyol,21,5,209,0,0,0,0,0,0,0,0,0,"0,02"
Alex Sola,ESP,Midfielder (MF),Getafe,25,19,1029,0,1,4,0,1,"0,7",0,"0,09","0,08","0,06"
Arnau Solà,ESP,Midfielder (MF),Villarreal,21,1,13,0,0,0,0,0,0,0,0,0,0
Jhon Solis,COL,Midfielder (MF),Girona,19,19,535,1,0,3,0,"0,7","0,1","0,17",0,"0,11","0,01"
David Soria,ESP,Goalkeeper (GK),Getafe,31,38,3420,0,0,2,0,0,0,0,0,0,0
Juan Soriano,ESP,Goalkeeper (GK),Leganés,26,6,540,0,0,1,1,0,0,0,0,0,0
Hugo Sotelo,ESP,Midfielder (MF),Celta Vigo,20,24,1254,0,0,5,0,"0,2","1,7",0,0,"0,01","0,12"
Djibril Sow,SUI,Midfielder (MF),Sevilla,27,30,2062,2,1,5,0,"2,4","1,6","0,09","0,04","0,1","0,07"
Carl Starfelt,SWE,Defender (DF),Celta Vigo,29,28,2270,1,0,5,0,"0,5","0,2","0,04",0,"0,02","0,01"
Orri Steinn Óskarsson,ISL,Forward (FW),Real Sociedad,19,23,944,3,0,1,0,"5,2","0,2","0,29",0,"0,5","0,02"
Stoichkov,ESP,Midfielder (MF),Alavés,30,16,699,0,1,1,0,"1,1","1,2",0,"0,13","0,14","0,15"
Cristhian Stuani,URU,Forward (FW),Girona,37,32,1078,11,2,4,0,"8,1","0,6","0,92","0,17","0,68","0,05"
Álex Suárez,ESP,Defender (DF),Las Palmas,31,30,2460,0,0,12,0,"0,5","0,1",0,0,"0,02",0
Denis Suárez,ESP,Midfielder (MF),Villarreal,30,21,608,1,1,0,0,"0,9","1,5","0,15","0,15","0,14","0,22"
Luka Sučić,CRO,Midfielder (MF),Real Sociedad,21,29,1792,1,1,4,0,"3,3","2,6","0,05","0,05","0,17","0,13"
Suso,ESP,Forward (FW),Sevilla,30,16,606,0,2,3,0,"0,7","1,6",0,"0,3","0,11","0,24"
Williot Swedberg,SWE,Forward (FW),Celta Vigo,20,32,1348,4,5,1,0,"5,2","2,6","0,27","0,33","0,35","0,17"
Mamadou Sylla,SEN,Forward (FW),Valladolid,30,29,1583,5,1,5,0,"5,1","1,7","0,28","0,06","0,29","0,09"
Wojciech Szczęsny,POL,Goalkeeper (GK),Barcelona,34,15,1350,0,0,0,0,0,0,0,0,0,0
Alexander Sørloth,NOR,Forward (FW),Atlético Madrid,28,35,1566,20,2,4,0,"16,8","1,6","1,15","0,11","0,97","0,09"
Renato Tapia,PER,Midfielder (MF),Leganés,29,34,2424,1,0,8,0,"0,6","0,4","0,04",0,"0,02","0,01"
César Tárrega,ESP,Defender (DF),Valencia,22,34,3026,2,0,7,0,"1,9","0,1","0,06",0,"0,06",0
Aurélien Tchouaméni,FRA,Defender (DF),Real Madrid,24,32,2689,0,0,5,0,"1,7","0,6",0,0,"0,06","0,02"
Álvaro Tejero,ESP,Midfielder (MF),Espanyol,28,28,1238,1,4,2,0,"0,6","2,9","0,07","0,29","0,04","0,21"
Martín Tejón,ESP,Midfielder (MF),Valencia,20,4,49,0,0,0,0,"0,1",0,0,0,"0,16","0,05"
Nahuel Tenaglia,ARG,Defender (DF),Alavés,28,34,2922,2,1,11,0,"2,2","1,6","0,06","0,03","0,07","0,05"
Marc-André ter Stegen,GER,Goalkeeper (GK),Barcelona,32,8,674,0,0,0,0,0,0,0,0,0,0
Ramón Terrats,ESP,Midfielder (MF),Villarreal,23,11,131,0,0,1,0,"0,1","0,3",0,0,"0,04","0,19"
Ramón Terrats,ESP,Midfielder (MF),Getafe,23,15,1219,4,1,1,0,"2,2","2,5","0,3","0,07","0,16","0,19"
Raúl de Tomás,ESP,Defender (DF),Rayo Vallecano,29,2,22,0,0,0,0,0,0,0,0,0,0
Pablo Torre,ESP,Midfielder (MF),Barcelona,21,10,310,3,1,0,0,"0,4","0,8","0,87","0,29","0,11","0,23"
David Torres,ESP,Defender (DF),Valladolid,21,18,1387,0,0,5,0,"0,3",0,0,0,"0,02",0
Ferrán Torres,ESP,Forward (FW),Barcelona,24,27,1106,10,6,1,1,8,"3,1","0,81","0,49","0,65","0,25"
Lucas Torró,ESP,Midfielder (MF),Osasuna,30,35,2957,3,0,10,0,"2,3","1,2","0,09",0,"0,07","0,04"
Hamari Traoré,MLI,Defender (DF),Real Sociedad,32,11,700,0,1,2,0,0,"0,2",0,"0,13","0,01","0,03"
Óscar Trejo,ARG,Midfielder (MF),Rayo Vallecano,36,19,496,1,0,1,0,"0,6",1,"0,18",0,"0,11","0,18"
Viktor Tsyhankov,UKR,Forward (FW),Girona,26,27,1913,2,5,1,0,"2,8","3,9","0,09","0,24","0,13","0,18"
Beñat Turrientes,ESP,Midfielder (MF),Real Sociedad,22,21,942,0,0,4,0,"0,6","0,2",0,0,"0,05","0,01"
Christantus Uche,NGA,Forward (FW),Getafe,21,33,2486,4,6,8,2,"3,8","2,9","0,14","0,22","0,14","0,1"
Naci Ünüvar,NED,Midfielder (MF),Espanyol,21,2,31,0,0,0,0,0,0,0,0,"0,14","0,09"
Óscar Valentín,ESP,Midfielder (MF),Rayo Vallecano,29,34,1835,0,0,5,0,"0,4","0,9",0,0,"0,02","0,04"
Germán Valera,ESP,Midfielder (MF),Valencia,22,8,148,0,0,0,0,"0,1",0,0,0,"0,08","0,01"
Martin Valjent,SVK,Defender (DF),Mallorca,28,31,2763,3,0,4,0,"0,8","0,1","0,1",0,"0,03",0
Jesús Vallejo,ESP,Defender (DF),Real Madrid,27,4,138,0,1,0,0,0,"0,1",0,"0,65",0,"0,08"
Federico Valverde,URU,Midfielder (MF),Real Madrid,26,36,3032,6,4,4,0,"2,7","3,1","0,18","0,12","0,08","0,09"
Siebe Van Der Heyden,BEL,Defender (DF),Mallorca,26,2,97,0,0,0,0,0,"0,1",0,0,"0,03","0,07"
Ruben Vargas,SUI,Forward (FW),Sevilla,25,11,671,2,1,0,0,2,"0,8","0,27","0,13","0,26","0,1"
José Luis García Vayá,ESP,Midfielder (MF),Valencia,25,34,1742,2,2,8,1,"2,1","2,1","0,1","0,1","0,11","0,11"
Jesus Vazquez,ESP,Defender (DF),Valencia,21,19,919,0,0,3,0,"0,1","0,6",0,0,"0,01","0,06"
Lucas Vázquez,ESP,Defender (DF),Real Madrid,33,32,2189,1,5,4,0,"1,4","4,7","0,04","0,21","0,06","0,19"
Alejo Véliz,ARG,Forward (FW),Espanyol,20,27,1127,1,0,3,0,"2,3","0,6","0,08",0,"0,18","0,04"
Mikel Vesga,ESP,Midfielder (MF),Athletic Club,31,25,988,0,0,1,0,"1,2",1,0,0,"0,11","0,09"
Carlos Vicente,ESP,Forward (FW),Alavés,25,37,3092,5,5,3,0,"3,5","5,4","0,15","0,15","0,1","0,16"
Pau Victor,ESP,Forward (FW),Barcelona,22,21,319,2,1,2,0,3,"0,9","0,56","0,28","0,85","0,24"
Nacho Vidal,ESP,Defender (DF),Osasuna,29,5,124,0,0,0,0,0,0,0,0,0,0
Fran Vieites,ESP,Goalkeeper (GK),Betis,25,4,360,0,0,0,0,0,0,0,0,"0,01",0
Sergio Viera,ESP,Midfielder (MF),Las Palmas,19,2,96,0,0,1,0,0,0,0,0,"0,02",0
Asier Villalibre,ESP,Forward (FW),Alavés,26,16,333,1,1,2,0,"1,6",1,"0,27","0,27","0,43","0,27"
Iván Villar,ESP,Goalkeeper (GK),Celta Vigo,27,4,360,0,0,0,0,0,0,0,0,0,0
Viti,ESP,Defender (DF),Las Palmas,26,29,1982,0,2,5,0,"0,1","1,4",0,"0,09",0,"0,06"
Daniel Vivian,ESP,Defender (DF),Athletic Club,25,32,2608,4,0,3,0,"1,9","0,4","0,14",0,"0,07","0,01"
Krapyvtsov Vladyslav,UKR,Goalkeeper (GK),Girona,19,2,180,0,0,0,0,0,0,0,0,0,0
Iñaki Williams,GHA,Forward (FW),Athletic Club,30,35,2652,6,8,1,0,"7,6","7,8","0,2","0,27","0,26","0,27"
Nico Williams,ESP,Forward (FW),Athletic Club,22,29,1996,5,5,1,0,"4,2","3,5","0,23","0,23","0,19","0,16"
Axel Witsel,BEL,Defender (DF),Atlético Madrid,35,14,852,0,1,1,0,0,"0,5",0,"0,11",0,"0,06"
Lamine Yamal,ESP,Forward (FW),Barcelona,17,35,2856,9,13,3,0,"9,8","13,9","0,28","0,41","0,31","0,44"
Daniel Yáñez,ESP,Forward (FW),Real Madrid,17,1,2,0,0,0,0,0,0,0,0,0,0
Bertuğ Yıldırım,TUR,Forward (FW),Getafe,22,22,1083,1,0,7,0,"2,5","1,2","0,08",0,"0,21","0,1"
Arsen Zakharyan,RUS,Midfielder (MF),Real Sociedad,21,3,73,1,0,0,0,"0,2","0,1","1,23",0,"0,24","0,12"
Bryan Zaragoza,ESP,Forward (FW),Osasuna,23,27,1836,1,6,4,0,"2,7","3,2","0,05","0,29","0,13","0,16"
Igor Zubeldia,ESP,Defender (DF),Real Sociedad,27,28,2269,0,0,6,1,"0,6","0,4",0,0,"0,02","0,02"
Martín Zubimendi,ESP,Midfielder (MF),Real Sociedad,25,36,2962,2,1,6,0,"2,6","1,1","0,06","0,03","0,08","0,03"